Sr.no,ID,Name of News,youtube link,https://youtu.be/ATOcPSGRgVk?si=pnFohU9qeZqgbPXj,Duration,standard duration,Publishing year,Media Organization,Auidio Quality,single speaker,Country,Pecha Tools,Group,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26
690.0,STT_NW0677,"Kunleng News Jan 26, 2022 ཀུན་གླེང་གསར་འགྱུར། ༢༠༢༢ ལོའི་ཟླ་༡ ཚེས་༢༦",https://youtu.be/C0yKGt28Vls?si=tP1HrbIPxbZhUR1G,YouTube ,20:52,00:20:52,2022.0,VOA  Tibetan,GOOD,True,US,,,,,,,,,,,,,,,
691.0,STT_NW0678,"Kunleng News: July 6, 2022 ཀུན་གླེང་གསར་འགྱུར། ༢༠༢༢ ལོའི་ཟླ་༧ ཚེས་༦",https://youtu.be/QiYkAb8bfQY?si=-OmTyF4y6WqbMtRZ,YouTube ,23:07,00:23:08,2022.0,VOA  Tibetan,GOOD,True,US,,,,,,,,,,,,,,,
692.0,STT_NW0679,"Kunleng News July 14, 2021 ཀུན་གླེང་གསར་འགྱུར་། ༢༠༢༡ ལོའི་ཟླ་༧ ཚེས་༡༤",https://youtu.be/2mgYN4LC3pY?si=maDWcPMkeJYkxNMk,YouTube ,19:09,00:19:10,2021.0,VOA  Tibetan,GOOD,True,US,,,,,,,,,,,,,,,
693.0,STT_NW0680,"ཀུན་གླེང་གསར་འགྱུར། ༢༠༢༣ ལོའི་ཟླ་༨ ཚེས་༢ Kunleng News Aug 2, 2023.",https://youtu.be/lkIoMZFBY60?si=zWbI6Jeb4TMQXdhj,YouTube ,22:33,00:22:34,2023.0,VOA  Tibetan,GOOD,True,US,,,,,,,,,,,,,,,
694.0,STT_NW0681,"ཀུན་གླེང་གསར་འགྱུར། ༢༠༢༣ ལོའི་ཟླ་༩ ཚེས་༢༧ Kunleng News Sep 27, 2023",https://youtu.be/qpjr3rtj8I4?si=Ul_P0A8iV9AMwhhg,YouTube ,19:31,00:19:31,2023.0,VOA  Tibetan,GOOD,True,US,,,,,,,,,,,,,,,
695.0,STT_NW0682,"Kunleng News July 23, 2021. ཀུན་གླེང་གསར་འགྱུར་། ༢༠༢༡ ལོའི་ཟླ་༧ ཚེས་༢༣",https://youtu.be/i09ZW_tK4Sc?si=h6G88rX-xbtnALx4,YouTube ,15:52,00:15:52,2021.0,VOA  Tibetan,GOOD,True,US ,,,,,,,,,,,,,,,
696.0,STT_NW0683,"Kunleng News Dec 31, 2021 ཀུན་གླེང་གསར་འགྱུར། ༢༠༢༡ ཟླ་༡༢ ཚེས་༣༡",https://youtu.be/Zqbcandjv6o?si=H-pnqQXmDcpbQCIo,YouTube ,20:23,00:20:24,2021.0,VOA  Tibetan,GOOD,True,US ,,,,,,,,,,,,,,,
697.0,STT_NW0684,"Kunleng News Dec 17, 2021 ཀུན་གླེང་གསར་འགྱུར། ༢༠༢༡ ཟླ་༡༢ ཚེས་༡༧",https://youtu.be/q-s-N17BuRI?si=f4JXPfwc8uNMvaOR,YouTube ,18:46,00:18:47,2021.0,VOA  Tibetan,GOOD,True,US,,,,,,,,,,,,,,,
698.0,STT_NW0685,"Kunleng News June 30, 2021 ཀུན་གླེང་གསར་འགྱུར་། ༢༠༢༡ ལོའི་ཟླ་༦ ཚེས་༣༠",https://youtu.be/aOnJig_4u60?si=ic_5lih-np3qQ1bf,YouTube ,19:39,00:19:39,2021.0,VOA  Tibetan,GOOD,True,US,,,,,,,,,,,,,,,
699.0,STT_NW0686,"Kunleng News April 13, 2022 ཀུན་གླེང་གསར་འགྱུར། ༢༠༢༢ ལོའི་ཟླ་༤ ཚེས་༡༣",https://youtu.be/buOvdJalmX0?si=lzPjp7e-2J9duvsS,YouTube ,22:59,00:22:59,2022.0,VOA  Tibetan,GOOD,True,US,,,,,,,,,,,,,,,
700.0,STT_NW0687,"Kunleng News July 30, 2021 ཀུན་གླེང་གསར་འགྱུར་། ༢༠༢༡ ལོའི་ཟླ་༧ ཚེས་༣༠",https://youtu.be/VhV4_rb4S_k?si=uv6iKtOIDLYYWGgE,YouTube ,23:19,00:23:19,2021.0,VOA  Tibetan,GOOD,True,US,,,,,,,,,,,,,,,
701.0,STT_NW0688,"Kunleng News Oct 13, 2021 ཀུན་གླེང་གསར་འགྱུར་། ༢༠༢༡ ལོའི་ ཟླ་༡༠ ཚེས་༡༣",https://youtu.be/OXozp0hW6tY?si=eKfmLRF_ZucUNagf,YouTube ,19:32,00:19:33,2021.0,VOA  Tibetan,good,True,US,,,,,,,,,,,,,,,
702.0,STT_NW0689,"Kunleng News: October 12th, 2022 ཀུན་གླེང་གསར་འགྱུར། ༢༠༢༢ ལོའི་ཟླ་༡༠ ཚེས་༡༢",https://youtu.be/mlHdm6XVXEA?si=CGmx8-3qAesDNZ0l,YouTube ,23:08,00:23:08,2022.0,VOA  Tibetan,GOOD,True,US,,,,,,,,,,,,,,,
703.0,STT_NW0690,"Kunleng News Dec 31, 2021 ཀུན་གླེང་གསར་འགྱུར། ༢༠༢༡ ཟླ་༡༢ ཚེས་༣༡",https://youtu.be/Zqbcandjv6o?si=zc9zns9jPcs3Sj83,YouTube ,20:23,00:20:24,2021.0,VOA  Tibetan,good,True,US,,,,,,,,,,,,,,,
704.0,STT_NW0691,"Kunleng News Dec 17, 2021 ཀུན་གླེང་གསར་འགྱུར། ༢༠༢༡ ཟླ་༡༢ ཚེས་༡༧",https://youtu.be/q-s-N17BuRI?si=WNs1fFgFBtQMslDt,YouTube ,18:46,00:18:47,2021.0,VOA  Tibetan,GOOD,True,US,,,,,,,,,,,,,,,
705.0,STT_NW0692,"Kunleng News July 27, 2022",https://youtu.be/hZFkKLgMChw?si=fTIJbAPs2s-tkvzG,YouTube ,24:00:00,00:23:59,2022.0,VOA  Tibetan,GOOD,True,US,,,,,,,,,,,,,,,
706.0,STT_NW0693,"ཀུན་གླེང་གསར་འགྱུར། ༢༠༢༢ ལོའི་ཟླ་༡༡ ཚེས་༣༠ Kunleng News Nov 30, 2022",https://youtu.be/RMAuVzhXLAc?si=LixArTBJbRTuCoVn,YouTube ,24:16:00,00:24:17,2022.0,VOA  Tibetan,GOOD,True,US,,,,,,,,,,,,,,,
