Audio File (Original),split duration,dept
STT_CS-D-2013-P-D-B05-3-R-01,00:05:19.421,STT_CS
STT_CS-D-2013-P-D-B06-4-R-01a,00:00:55.467,STT_CS
STT_CS-D-2013-P-D-B06-4-R-01b,00:01:06.370,STT_CS
STT_CS-D-2013-P-D-B06-4-R-01c,00:00:34.341,STT_CS
STT_CS-D-2013-P-D-B06-5-R-01,00:05:29.301,STT_CS
STT_CS-D-2013-P-D-G01-2-N-01,00:09:07.261,STT_CS
STT_CS-D-2013-P-D-G03-3-N-01,00:02:24.196,STT_CS
STT_CS-D-2013-P-D-G03-3-N-02,00:14:31.156,STT_CS
STT_CS-D-2013_2011-M_M-D_D-G02_G01-0_0-L_L-01,00:17:10.626,STT_CS
STT_CS-D-2013_2011-M_M-D_D-G02_G02-1_1-L_L-01,00:09:43.815,STT_CS
STT_CS-D-2013_2011-M_M-D_D-G02_G02-2_2-L_L-02,00:01:20.468,STT_CS
STT_CS-D-2013_2011-M_M-G02_G02-2_2-L_L-02,00:09:43.815,STT_CS
STT_CS-D-2013_2012-M_M-D_D-B01_B02-4_4-R_R-01,00:24:58.869,STT_CS
STT_CS-D-2014-M-D-B01-3-R-01a,00:02:47.233,STT_CS
STT_CS-D-2014-M-D-B01-3-R-01b,00:04:30.726,STT_CS
STT_CS-D-2014-M-D-B01-3-R-02a,00:01:42.515,STT_CS
STT_CS-D-2014-M-D-B01-3-R-02b,00:02:18.780,STT_CS
STT_CS-D-2014-M-D-B01-3-R-03,00:09:09.217,STT_CS
STT_CS-D-2014-M-D-B01-3-R-04,00:07:39.778,STT_CS
STT_CS-D-2014-M-D-B01-3-R-05,00:04:35.000,STT_CS
STT_CS-D-2014-M-D-B01-3-R-06,00:15:48.290,STT_CS
STT_CS-D-2014-M-D-B01-3-R-07,00:12:22.893,STT_CS
STT_CS-D-2014-M-D-B01-3-T-01,00:08:10.598,STT_CS
STT_CS-D-2014-M-D-B01-4-R-01,00:02:00.758,STT_CS
STT_CS-D-2014-M-D-B01-4-R-02,00:15:45.010,STT_CS
STT_CS-D-2014-M-D-B02-2-R-01,00:09:18.657,STT_CS
STT_CS-D-2014-M-D-B02-2-R-02,00:11:54.912,STT_CS
STT_CS-D-2014-M-D-B02-3-R-01,00:04:36.619,STT_CS
STT_CS-D-2014-M-D-B02-3-R-02,00:02:52.914,STT_CS
STT_CS-D-2014-M-D-B02-3-T-01,00:18:15.948,STT_CS
STT_CS-D-2014-M-D-B02-4-R-01,00:08:28.207,STT_CS
STT_CS-D-2014-M-D-B02-4-R-02,00:12:42.282,STT_CS
STT_CS-D-2014-M-D-B02-4-R-05,00:14:13.064,STT_CS
STT_CS-D-2014-M-D-B03-3-R-01,00:13:46.522,STT_CS
STT_CS-D-2014-M-D-B03-3-R-02,00:17:41.929,STT_CS
STT_CS-D-2014-M-D-B03-3-R-03a,00:00:59.434,STT_CS
STT_CS-D-2014-M-D-B03-3-R-03b,00:01:54.431,STT_CS
STT_CS-D-2014-M-D-B03-3-R-05,00:05:57.978,STT_CS
STT_CS-D-2014-M-D-B03-4-R-01,00:14:38.156,STT_CS
STT_CS-D-2014-M-D-B04-2-T-01,00:09:33.837,STT_CS
STT_CS-D-2014-M-D-B04-2-T-02,00:12:01.413,STT_CS
STT_CS-D-2014-M-D-B04-2-T-03,00:12:13.326,STT_CS
STT_CS-D-2014-M-D-B04-3-R-04,00:12:19.990,STT_CS
STT_CS-D-2014-M-D-B04-4-R-01,00:12:54.926,STT_CS
STT_CS-D-2014-M-D-B04-4-R-02,00:19:19.495,STT_CS
STT_CS-D-2014-M-D-B04-4-R-03,00:03:47.766,STT_CS
STT_CS-D-2014-M-D-B04-4-R-04,00:14:18.114,STT_CS
STT_CS-D-2014-M-D-B05-2-R-01a,00:01:43.004,STT_CS
STT_CS-D-2014-M-D-B05-2-R-01b,00:00:57.741,STT_CS
